"Name","PackageFullName"
"1527c705-839a-4832-9118-54d4Bd6a0c89","1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy"
"23169VirtualLife.RemoteArduinoMonitor","23169VirtualLife.RemoteArduinoMonitor_1.1.14.0_x64__3xx1b4xk0cfhw"
"30067IrfanSkiljanIrfanVie.IrfanView","30067IrfanSkiljanIrfanVie.IrfanView_4.7.2.0_x86__psgec73n2n7ne"
"3AMDEVS.33879BEC33732","3AMDEVS.33879BEC33732_1.1.61.0_x64__jr3s79tfen06m"
"50072StevenMayall.MusicBee","50072StevenMayall.MusicBee_3.5.8447.0_x86__kcr266et74avj"
"64815ZMobileApps.VideoCompressorResizeCompressVide","64815ZMobileApps.VideoCompressorResizeCompressVide_1.0.14.0_x64__y5q3202s7vj2w"
"9426MICRO-STARINTERNATION.MSICenter","9426MICRO-STARINTERNATION.MSICenter_2.0.42.0_x64__kzh8wxbdkxb8p"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy"
"Clipchamp.Clipchamp","Clipchamp.Clipchamp_4.3.10120.0_x64__yxz26nhyzhsrt"
"E2A4F912-2574-4A75-9BB0-0D023378592B","E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy"
"LGElectronics.LGMonitorApp","LGElectronics.LGMonitorApp_1.2405.3001.0_x86__cfnzzhwkr8z5w"
"Microsoft.AAD.BrokerPlugin","Microsoft.AAD.BrokerPlugin_1000.19041.4239.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.AccountsControl","Microsoft.AccountsControl_10.0.19041.4239_neutral__cw5n1h2txyewy"
"Microsoft.Advertising.Xaml","Microsoft.Advertising.Xaml_10.1811.1.0_x64__8wekyb3d8bbwe"
"Microsoft.Advertising.Xaml","Microsoft.Advertising.Xaml_10.1811.1.0_x86__8wekyb3d8bbwe"
"Microsoft.AsyncTextService","Microsoft.AsyncTextService_10.0.19041.4239_neutral__8wekyb3d8bbwe"
"Microsoft.AV1VideoExtension","Microsoft.AV1VideoExtension_1.3.20.0_x64__8wekyb3d8bbwe"
"Microsoft.BingWeather","Microsoft.BingWeather_4.54.63007.0_x64__8wekyb3d8bbwe"
"Microsoft.BioEnrollment","Microsoft.BioEnrollment_10.0.19041.4239_neutral__cw5n1h2txyewy"
"Microsoft.CommandPalette","Microsoft.CommandPalette_0.1.1.0_x64__8wekyb3d8bbwe"
"Microsoft.CredDialogHost","Microsoft.CredDialogHost_10.0.19041.4239_neutral__cw5n1h2txyewy"
"Microsoft.DesktopAppInstaller","Microsoft.DesktopAppInstaller_1.27.460.0_x64__8wekyb3d8bbwe"
"Microsoft.DirectXRuntime","Microsoft.DirectXRuntime_9.29.1974.0_x64__8wekyb3d8bbwe"
"Microsoft.DirectXRuntime","Microsoft.DirectXRuntime_9.29.1974.0_x86__8wekyb3d8bbwe"
"Microsoft.ECApp","Microsoft.ECApp_10.0.19041.4597_neutral__8wekyb3d8bbwe"
"Microsoft.GamingApp","Microsoft.GamingApp_2512.1001.34.0_x64__8wekyb3d8bbwe"
"Microsoft.GamingServices","Microsoft.GamingServices_33.108.12001.0_x64__8wekyb3d8bbwe"
"Microsoft.GetHelp","Microsoft.GetHelp_10.2409.32612.0_x64__8wekyb3d8bbwe"
"Microsoft.Getstarted","Microsoft.Getstarted_10.2312.1.0_x64__8wekyb3d8bbwe"
